id,age,gender,mother_tongue,english_level,visual_aid,expertise_experiment_language,time_experiment_language,frequency_experiment_language,expertise_programming,time_programming,frequency_other_language,order_rectangle,order_vehicle,correct_rectangle,correct_vehicle,stimulus_rectangle,stimulus_vehicle,line_rectangle,type_rectangle,line_vehicle,type_vehicle
171,20,male,Slovak,medium,no,medium,2,less than 1 hour / week,medium,4,less than 1 hour / week,2,1,1,0,rectangle_java2.jpg,vehicle_java2.jpg,3,constructor,11,if
172,22,male,Slovak,medium,no,low,1,less than 1 hour / day,low,2.5,less than 1 hour / month,2,1,1,1,rectangle_java2.jpg,vehicle_java2.jpg,2,constructor,4,constructor
173,28,female,English,high,contact lenses,medium,3,less than 1 hour / week,medium,5,less than 1 hour / week,1,2,1,0,rectangle_java.jpg,vehicle_java.jpg,2,constructor,4,constructor
174,21,female,English,high,glasses,medium,1.5,less than 1 hour / day,medium,1.5,less than 1 hour / month,1,2,1,0,rectangle_java2.jpg,vehicle_java2.jpg,2,constructor,11,if
176,36,female,Greek,high,no,low,2.5,less than 1 hour / month,low,3,less than 1 hour / month,1,2,1,0,rectangle_java2.jpg,vehicle_java2.jpg,15,instance,12,insideIf
177,25,male,Hebrew,high,no,low,1,less than 1 hour / day,low,2,more than 1 hour / day,1,2,1,0,rectangle_java2.jpg,vehicle_java2.jpg,9,functions,3,variable
178,21,male,Slovak,medium,no,high,2,less than 1 hour / day,high,5,more than 1 hour / day,1,2,1,0,rectangle_java2.jpg,vehicle_java2.jpg,12,main,2,variable
179,19,male,Persian,high,glasses,low,0.5,less than 1 hour / day,low,0.5,not at all,2,1,1,0,rectangle_java2.jpg,vehicle_java2.jpg,3,constructor,4,constructor
180,22,female,English,high,no,low,0,not at all,low,2,not at all,2,1,1,1,rectangle_java2.jpg,vehicle_java2.jpg,13,instance,10,functions
181,32,female,German,medium,no,none,0,not at all,none,0,not at all,1,2,0,0,rectangle_java2.jpg,vehicle_java2.jpg,13,instance,18,main
182,20,male,English,high,glasses,low,1,less than 1 hour / day,medium,1,less than 1 hour / day,2,1,1,0,rectangle_java2.jpg,vehicle_java2.jpg,3,constructor,10,functions
183,26,male,Portuguese,high,contact lenses,low,1,less than 1 hour / month,medium,2,less than 1 hour / day,2,1,1,1,rectangle_java2.jpg,vehicle_java2.jpg,10,functions,3,variable
184,20,male,Italian,medium,glasses,low,1,less than 1 hour / month,medium,3,not at all,2,1,1,0,rectangle_java2.jpg,vehicle_java2.jpg,2,constructor,10,functions
185,27,male,Slovak,medium,no,medium,3,less than 1 hour / week,medium,4,less than 1 hour / day,1,2,1,0,rectangle_java2.jpg,vehicle_java2.jpg,11,functions,11,if
186,22,female,Slovak,medium,glasses,low,3,less than 1 hour / day,medium,3,more than 1 hour / day,1,2,1,0,rectangle_java2.jpg,vehicle_java2.jpg,10,functions,11,if
187,22,female,Spanish,medium,glasses,medium,2,less than 1 hour / month,low,2,more than 1 hour / day,1,2,1,0,rectangle_java2.jpg,vehicle_java2.jpg,3,constructor,10,functions
189,24,male,Hindi,high,no,none,0,not at all,medium,5,less than 1 hour / day,2,1,0,1,rectangle_java2.jpg,vehicle_java2.jpg,9,functions,11,if
190,26,male,Slovak,medium,no,medium,7,less than 1 hour / month,medium,8,more than 1 hour / day,2,1,1,0,rectangle_java2.jpg,vehicle_java2.jpg,9,functions,11,if
191,24,male,Norwegian,high,contact lenses,medium,0.5,not at all,medium,3,less than 1 hour / month,2,1,1,1,rectangle_java2.jpg,vehicle_java2.jpg,9,functions,10,functions
192,26,male,English,high,no,medium,4,more than 1 hour / day,medium,5,more than 1 hour / day,1,2,0,0,rectangle_java.jpg,vehicle_java.jpg,13,instance,12,insideIf
193,31,male,Slovak,medium,glasses,medium,2,less than 1 hour / month,medium,3,less than 1 hour / month,1,2,1,1,rectangle_java2.jpg,vehicle_java2.jpg,2,constructor,4,constructor
194,24,male,English,high,glasses,medium,2,less than 1 hour / day,medium,2,less than 1 hour / day,1,2,1,0,rectangle_java.jpg,vehicle_java.jpg,15,instance,19,instance
195,49,male,Finnish,high,glasses,high,5,less than 1 hour / week,high,20,less than 1 hour / week,2,1,1,1,rectangle_java.jpg,vehicle_java.jpg,3,constructor,4,constructor
196,25,male,Slovak,high,no,none,0,not at all,low,1,less than 1 hour / day,2,1,0,0,rectangle_java2.jpg,vehicle_java2.jpg,11,functions,12,insideIf
197,32,male,English,high,glasses,medium,1,less than 1 hour / week,medium,2,not at all,2,1,0,0,rectangle_java.jpg,vehicle_java.jpg,9,functions,11,if
198,22,male,Tagalog,high,no,medium,2,less than 1 hour / month,medium,3,less than 1 hour / month,2,1,1,0,rectangle_java.jpg,vehicle_java.jpg,9,functions,4,constructor
199,28,male,English,high,no,low,1.5,less than 1 hour / week,low,1.5,less than 1 hour / week,2,1,1,0,rectangle_java.jpg,vehicle_java.jpg,3,constructor,10,functions
200,19,male,English,high,no,low,1,less than 1 hour / day,low,1.5,less than 1 hour / day,2,1,1,1,rectangle_java.jpg,vehicle_java.jpg,3,constructor,4,constructor
201,36,male,Italian,medium,glasses,none,0,not at all,medium,10,more than 1 hour / day,1,2,1,0,rectangle_java2.jpg,vehicle_java2.jpg,3,constructor,11,if
202,22,male,English,high,contact lenses,medium,3,more than 1 hour / day,medium,4,less than 1 hour / day,2,1,1,0,rectangle_java.jpg,vehicle_java.jpg,3,constructor,11,if
203,21,male,English,high,glasses,medium,2,less than 1 hour / week,medium,2.5,more than 1 hour / day,1,2,0,0,rectangle_java.jpg,vehicle_java.jpg,9,functions,4,constructor
204,20,female,English,medium,glasses,none,0,not at all,low,0.5,not at all,2,1,0,0,rectangle_java.jpg,vehicle_java.jpg,12,main,4,constructor
206,30,male,English; Hebrew,high,no,medium,1,more than 1 hour / day,low,1,not at all,2,1,0,0,rectangle_java2.jpg,vehicle_java2.jpg,3,constructor,12,insideIf
207,20,female,Slovak,medium,contact lenses,medium,2,less than 1 hour / day,medium,2,less than 1 hour / month,2,1,1,0,rectangle_java2.jpg,vehicle_java2.jpg,2,constructor,11,if
208,24,male,Hebrew,medium,no,low,2,less than 1 hour / week,low,2,less than 1 hour / day,2,1,1,1,rectangle_java2.jpg,vehicle_java2.jpg,2,constructor,5,other
209,78,female,English,high,contact lenses,medium,5,less than 1 hour / month,high,56,less than 1 hour / month,2,1,1,0,rectangle_java.jpg,vehicle_java.jpg,3,constructor,2,variable
210,31,male,Slovak,high,no,medium,0,not at all,high,18,more than 1 hour / day,2,1,1,0,rectangle_java2.jpg,vehicle_java2.jpg,3,constructor,11,if
211,21,female,Italian; English,high,no,none,0,not at all,medium,1,not at all,1,2,1,0,rectangle_java2.jpg,vehicle_java2.jpg,10,functions,11,if
212,21,male,Slovak,high,glasses,medium,2,less than 1 hour / day,medium,3,less than 1 hour / day,1,2,0,1,rectangle_java2.jpg,vehicle_java2.jpg,10,functions,4,constructor
213,26,male,Hindi,high,no,low,0.5,less than 1 hour / week,medium,3,less than 1 hour / week,1,2,0,0,rectangle_java2.jpg,vehicle_java2.jpg,3,constructor,2,variable
214,21,male,Slovak,high,no,medium,1,less than 1 hour / week,medium,4,less than 1 hour / week,1,2,1,1,rectangle_java2.jpg,vehicle_java2.jpg,10,functions,11,if
215,22,male,Slovak,medium,no,medium,1,less than 1 hour / week,medium,2,less than 1 hour / day,2,1,0,1,rectangle_java2.jpg,vehicle_java2.jpg,2,constructor,11,if
216,22,female,Thai,high,glasses,none,0,more than 1 hour / day,none,0,not at all,2,1,1,0,rectangle_java2.jpg,vehicle_java2.jpg,12,main,5,other
